Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0711->XG9, XG9->FX0910->YH2,2017:05:08:01:20:19, 2017:05:08:01:21:26,67
YH1->FX1305->XG9, XG9->FX0111->YH2,2017:05:08:01:24:05, 2017:05:08:01:27:54,229
YH1->FX0810->XG9, XG9->FX0111->YH2,2017:05:08:01:27:54, 2017:05:08:01:28:48,54
YH1->FX0710->XG9, XG9->FX0909->YH2,2017:05:08:01:29:55, 2017:05:08:01:30:49,54
YH1->FX1304->XG9, XG9->FX0110->YH2,2017:05:08:01:32:30, 2017:05:08:01:36:41,251
YH1->FX0809->XG9, XG9->FX0110->YH2,2017:05:08:01:36:41, 2017:05:08:01:37:50,69
YH1->FX0709->XG9, XG9->FX0908->YH2,2017:05:08:01:38:51, 2017:05:08:01:40:10,79
YH1->FX1303->XG9, XG9->FX0109->YH2,2017:05:08:01:41:21, 2017:05:08:01:45:24,243
YH1->FX0108->XG9, XG9->FX0109->YH2,2017:05:08:01:45:24, 2017:05:08:01:46:51,87
YH1->FX0708->XG9, XG9->FX0907->YH2,2017:05:08:01:48:10, 2017:05:08:01:49:05,55
YH1->FX1302->XG9, XG9->FX0108->YH2,2017:05:08:01:50:39, 2017:05:08:01:54:03,204
YH1->FX0107->XG9, XG9->FX0108->YH2,2017:05:08:01:54:03, 2017:05:08:01:55:51,108
YH1->FX1301->XG9, XG9->FX0905->YH2,2017:05:08:01:59:55, 2017:05:08:02:02:36,161
YH1->FX0106->XG9, XG9->FX0905->YH2,2017:05:08:02:02:36, 2017:05:08:02:06:09,213
YH1->FX0805->XG9, XG9->FX0904->YH2,2017:05:08:02:09:08, 2017:05:08:02:14:15,307
YH1->FX0105->XG9, XG9->FX0904->YH2,2017:05:08:02:14:15, 2017:05:08:02:14:33,18
YH1->FX0804->XG9, XG9->FX0903->YH2,2017:05:08:02:18:27, 2017:05:08:02:22:50,263
YH1->FX0104->XG9, XG9->FX0204->YH2,2017:05:08:02:23:01, 2017:05:08:02:24:35,94
YH1->FX0803->XG9, XG9->FX0203->YH2,2017:05:08:02:27:53, 2017:05:08:02:31:45,232
YH1->FX0103->XG9, XG9->FX0203->YH2,2017:05:08:02:31:45, 2017:05:08:02:33:53,128
